device_type,device_name,total_urls,uc_min,uc_avg,uc_max,total_err,time_to_target_urls,cx_name
mobile,Pixel_4a_C1_R1,26,1.185,4.439538,8.762,0,16.936625,rb_wlan0_http11_l4
mobile,S2_R2_C4_SM_GJ6,20,2.234,8.784526,16.519,0,18.654815,rb_wlan0_http13_l4
