Time epoch,Time,Total-Station-Count,UL-Min-Requested,UL-Max-Requested,DL-Min-Requested,DL-Max-Requested,UL-Min-PDU,UL-Max-PDU,DL-Min-PDU,DL-Max-PDU,Attenuation,Name,Rx-Bps,Tx-Bps,Rx-Link-Rate,Tx-Link-Rate,RSSI,AP,Mode,MAC,Channel,Rx-Latency,Rx-Jitter,Ul-Rx-Goodput-bps,Ul-Rx-Rate-ll,Ul-Rx-Pkts-ll,Ul-Rx-Drop_Percent,Dl-Rx-Goodput-bps,Dl-Rx-Rate-ll,Dl-Rx-Pkts-ll,DL-Rx-Drop-Percent
1758174592,09_18_2025_11_19_52,6,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.10.wlan0,13557,35668,173 Mbps,173 Mbps,-12,94:A6:7E:74:26:22,802.11abgn 20 ,46:ca:12:8c:58:67,11,119,0,192611,198420,101,0.0,0,0,0,0
1758174592,09_18_2025_11_19_52,6,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.10.wlan0,145397,65278,173 Mbps,173 Mbps,-13,94:A6:7E:74:26:22,802.11abgn 20 ,46:ca:12:8c:58:67,11,119,0,192611,198420,101,0.0,0,0,0,0
1758174597,09_18_2025_11_19_57,6,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.10.wlan0,145397,65278,173 Mbps,173 Mbps,-13,94:A6:7E:74:26:22,802.11abgn 20 ,46:ca:12:8c:58:67,11,108,0,192774,198476,184,0.0,0,0,0,0
1758174597,09_18_2025_11_19_57,6,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.10.wlan0,145397,65278,173 Mbps,173 Mbps,-13,94:A6:7E:74:26:22,802.11abgn 20 ,46:ca:12:8c:58:67,11,108,0,192774,198476,184,0.0,0,0,0,0
1758174603,09_18_2025_11_20_03,6,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.10.wlan0,5362445,142575,144 Mbps,144 Mbps,-14,94:A6:7E:74:26:22,802.11abgn 20 ,46:ca:12:8c:58:67,11,81,0,192774,198476,184,0.0,0,0,0,0
1758174603,09_18_2025_11_20_03,6,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.10.wlan0,5362445,142575,144 Mbps,144 Mbps,-14,94:A6:7E:74:26:22,802.11abgn 20 ,46:ca:12:8c:58:67,11,81,0,192774,198476,184,0.0,0,0,0,0
1758174608,09_18_2025_11_20_08,6,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.10.wlan0,13245612,233830,173 Mbps,173 Mbps,-14,94:A6:7E:74:26:22,802.11abgn 20 ,46:ca:12:8c:58:67,11,162,0,156431,161782,226,0.0,0,0,0,0
1758174608,09_18_2025_11_20_08,6,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.10.wlan0,13245612,233830,173 Mbps,173 Mbps,-14,94:A6:7E:74:26:22,802.11abgn 20 ,46:ca:12:8c:58:67,11,162,0,156431,161782,226,0.0,0,0,0,0
1758174613,09_18_2025_11_20_13,6,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.10.wlan0,13245612,233830,173 Mbps,173 Mbps,-14,94:A6:7E:74:26:22,802.11abgn 20 ,46:ca:12:8c:58:67,11,392,0,145330,149999,274,0.0,0,0,0,0
1758174613,09_18_2025_11_20_13,6,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.10.wlan0,13245612,233830,173 Mbps,173 Mbps,-14,94:A6:7E:74:26:22,802.11abgn 20 ,46:ca:12:8c:58:67,11,392,0,145330,149999,274,0.0,0,0,0,0
1758174618,09_18_2025_11_20_18,6,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.10.wlan0,13245612,233830,173 Mbps,173 Mbps,-14,94:A6:7E:74:26:22,802.11abgn 20 ,46:ca:12:8c:58:67,11,788,0,136143,140226,328,0.0,0,0,0,0
1758174618,09_18_2025_11_20_18,6,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.10.wlan0,13245612,233830,173 Mbps,173 Mbps,-14,94:A6:7E:74:26:22,802.11abgn 20 ,46:ca:12:8c:58:67,11,788,0,136143,140226,328,0.0,0,0,0,0
1758174623,09_18_2025_11_20_23,6,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.10.wlan0,17099529,296652,173 Mbps,173 Mbps,-15,94:A6:7E:74:26:22,802.11abgn 20 ,46:ca:12:8c:58:67,11,1344,0,134274,138479,381,0.0,0,0,0,0
1758174623,09_18_2025_11_20_23,6,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.10.wlan0,17099529,296652,173 Mbps,173 Mbps,-15,94:A6:7E:74:26:22,802.11abgn 20 ,46:ca:12:8c:58:67,11,1344,0,134274,138479,381,0.0,0,0,0,0
1758174628,09_18_2025_11_20_28,6,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.10.wlan0,17163606,298756,144 Mbps,144 Mbps,-15,94:A6:7E:74:26:22,802.11abgn 20 ,46:ca:12:8c:58:67,11,1797,0,131111,135195,436,0.0,0,0,0,0
1758174628,09_18_2025_11_20_28,6,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.10.wlan0,17163606,298756,144 Mbps,144 Mbps,-15,94:A6:7E:74:26:22,802.11abgn 20 ,46:ca:12:8c:58:67,11,1797,0,131111,135195,436,0.0,0,0,0,0
1758174633,09_18_2025_11_20_33,6,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.10.wlan0,17163606,298756,144 Mbps,144 Mbps,-15,94:A6:7E:74:26:22,802.11abgn 20 ,46:ca:12:8c:58:67,11,3215,0,128478,132457,493,0.0,0,0,0,0
