TIMESTAMP,Bytes-rd,total urls,download_rate,rx_rate,tx_rate,RSSI
2025-10-01T15:33:04,0,0,0,144.4 Mbps,144 Mbps,-16
2025-10-01T15:33:10,0,0,0,144.4 Mbps,144 Mbps,-16
2025-10-01T15:33:15,0,0,0,144.4 Mbps,144 Mbps,-16
2025-10-01T15:33:20,0,0,0,144.4 Mbps,144 Mbps,-16
2025-10-01T15:33:26,756280,0,326779,144.4 Mbps,144 Mbps,-16
2025-10-01T15:33:31,880380,0,298049,144.4 Mbps,144 Mbps,-15
2025-10-01T15:33:36,1011780,0,279755,144.4 Mbps,144 Mbps,-15
2025-10-01T15:33:42,1140260,0,264970,144.4 Mbps,144 Mbps,-15
2025-10-01T15:33:47,1297940,0,264316,144.4 Mbps,144 Mbps,-16
2025-10-01T15:33:52,1422040,0,256395,144.4 Mbps,144 Mbps,-15
2025-10-01T15:33:58,1534460,0,247464,144.4 Mbps,144 Mbps,-15
2025-10-01T15:34:03,1677540,0,245204,144.4 Mbps,144 Mbps,-15
