TIMESTAMP,Bytes-rd,total urls,download_rate,rx_rate,tx_rate,RSSI
2025-08-06T15:26:50,0,0,0,144.4 Mbps,144 Mbps,-28
2025-08-06T15:26:57,0,0,0,144.4 Mbps,144 Mbps,-28
2025-08-06T15:27:03,0,0,0,144.4 Mbps,144 Mbps,-28
2025-08-06T15:27:09,10000000,2,4698801,144.4 Mbps,144 Mbps,-28
2025-08-06T15:27:15,15000000,3,5459952,144.4 Mbps,144 Mbps,-28
2025-08-06T15:27:22,20000000,4,4972118,144.4 Mbps,144 Mbps,-28
2025-08-06T15:27:28,25000000,5,5371690,144.4 Mbps,144 Mbps,-28
2025-08-06T15:27:34,30000000,6,5663048,144.4 Mbps,144 Mbps,-28
2025-08-06T15:27:40,32349256,6,5486502,130 Mbps,130 Mbps,-27
2025-08-06T15:27:47,40000000,8,5596374,130 Mbps,130 Mbps,-28
