TIMESTAMP,Bytes-rd,total urls,download_rate,rx_rate,tx_rate,RSSI
2025-09-24T13:17:07,5175208,1,0,34.42 Mbps,145 Mbps,-23
2025-09-24T13:17:13,5175208,1,0,34.42 Mbps,145 Mbps,
2025-09-24T13:17:18,5175208,1,0,39.86 Mbps,39.86 Mbps,
2025-09-24T13:17:24,5792,0,2708,39.86 Mbps,39.86 Mbps,
2025-09-24T13:17:29,196928,0,70042,39.86 Mbps,39.86 Mbps,
2025-09-24T13:17:35,347520,0,101016,36.09 Mbps,145 Mbps,-23
2025-09-24T13:17:41,485080,0,118478,36.09 Mbps,145 Mbps,-23
2025-09-24T13:17:46,648704,0,137291,45.83 Mbps,145 Mbps,-40
2025-09-24T13:17:52,773232,0,143638,45.83 Mbps,145 Mbps,-40
2025-09-24T13:17:57,1295960,0,213852,35.53 Mbps,145 Mbps,-23
2025-09-24T13:18:03,2978536,0,445258,142.12 Mbps,145 Mbps,-23
