TIMESTAMP,Bytes-rd,total urls,download_rate,rx_rate,tx_rate,RSSI
2025-09-24T13:17:07,10829280,2,0,144.4 Mbps,144 Mbps,-16
2025-09-24T13:17:13,10829280,2,0,144.4 Mbps,144 Mbps,-16
2025-09-24T13:17:18,10829280,2,0,144.4 Mbps,144.4 Mbps,-16
2025-09-24T13:17:24,402960,0,199584,144.4 Mbps,144 Mbps,-16
2025-09-24T13:17:29,655540,0,244570,144.4 Mbps,144 Mbps,-16
2025-09-24T13:17:35,805920,0,241359,144.4 Mbps,144 Mbps,-16
2025-09-24T13:17:41,969440,0,244917,144.4 Mbps,144 Mbps,-16
2025-09-24T13:17:46,1243920,0,270576,144.4 Mbps,144 Mbps,-16
2025-09-24T13:17:52,3414940,0,651585,144.4 Mbps,144 Mbps,-16
2025-09-24T13:17:57,5000000,1,852494,144.4 Mbps,144 Mbps,-16
2025-09-24T13:18:03,5073000,1,780076,144.4 Mbps,144 Mbps,-16
