TIMESTAMP,Bytes-rd,total urls,download_rate,rx_rate,tx_rate,RSSI
2025-09-24T13:15:37,0.0,0,0,144.4 Mbps,144 Mbps,-18
2025-09-24T13:15:43,0.0,0,0,144.4 Mbps,144 Mbps,-18
2025-09-24T13:15:49,0.0,0,0,144.4 Mbps,144 Mbps,-18
2025-09-24T13:15:54,10.0964,2,4915843,144.4 Mbps,144 Mbps,-18
2025-09-24T13:16:00,11.5096,2,4282160,144.4 Mbps,144 Mbps,-18
2025-09-24T13:16:06,14.5406,2,4389825,144.4 Mbps,144 Mbps,-18
2025-09-24T13:16:12,16.6264,3,4207077,144.4 Mbps,144 Mbps,-18
2025-09-24T13:16:18,19.123,3,4168473,144.4 Mbps,144 Mbps,-18
2025-09-24T13:16:23,22.9593,4,3911296,144.4 Mbps,144 Mbps,-18
2025-09-24T13:16:29,25.0015,5,3845526,144.4 Mbps,144 Mbps,-18
2025-09-24T13:16:35,26.5826,5,3726371,144.4 Mbps,144 Mbps,-18
