TIMESTAMP,Bytes-rd,total urls,download_rate,rx_rate,tx_rate,RSSI
2025-09-24T13:15:40,0,0,0,119.92 Mbps,145 Mbps,
2025-09-24T13:15:46,0,0,0,119.92 Mbps,145 Mbps,
2025-09-24T13:15:51,0,0,0,116.66 Mbps,116.66 Mbps,
2025-09-24T13:15:57,0,0,0,116.66 Mbps,116.66 Mbps,
2025-09-24T13:16:03,1249624,0,444306,113.19 Mbps,145 Mbps,-23
2025-09-24T13:16:08,1368360,0,397816,113.19 Mbps,145 Mbps,-23
2025-09-24T13:16:14,1424832,0,349021,43.01 Mbps,145 Mbps,-31
2025-09-24T13:16:19,1560944,0,330992,135.46 Mbps,145 Mbps,-23
2025-09-24T13:16:25,2499248,0,463767,33.87 Mbps,145 Mbps,-23
2025-09-24T13:16:30,4121008,0,684758,33.87 Mbps,145 Mbps,-23
2025-09-24T13:16:35,5000000,1,752221,43.72 Mbps,145 Mbps,-23
