TIMESTAMP,Bytes-rd,total urls,download_rate,rx_rate,tx_rate,RSSI
2025-09-24T13:15:37,0.0,0,0,119.92 Mbps,145 Mbps,-27
2025-09-24T13:15:43,0.0,0,0,119.92 Mbps,145 Mbps,-27
2025-09-24T13:15:49,0.0,0,0,119.92 Mbps,145 Mbps,-27
2025-09-24T13:15:54,0.0043,0,0,119.92 Mbps,145 Mbps,-27
2025-09-24T13:16:00,0.6241,0,223802,119.92 Mbps,145 Mbps,-27
2025-09-24T13:16:06,1.6304,0,477549,119.92 Mbps,145 Mbps,-27
2025-09-24T13:16:12,2.7425,0,669160,119.92 Mbps,145 Mbps,-27
2025-09-24T13:16:18,3.4332,0,731456,119.92 Mbps,145 Mbps,-27
2025-09-24T13:16:23,4.5337,0,850417,119.92 Mbps,145 Mbps,-27
2025-09-24T13:16:29,5.3663,1,899104,119.92 Mbps,145 Mbps,-27
2025-09-24T13:16:35,6.4871,1,893134,119.92 Mbps,145 Mbps,-27
