Time epoch,Time,Total-Station-Count,UL-Min-Requested,UL-Max-Requested,DL-Min-Requested,DL-Max-Requested,UL-Min-PDU,UL-Max-PDU,DL-Min-PDU,DL-Max-PDU,Attenuation,Name,Rx-Bps,Tx-Bps,Rx-Link-Rate,Tx-Link-Rate,RSSI,AP,Mode,MAC,Channel,Rx-Latency,Rx-Jitter,Ul-Rx-Goodput-bps,Ul-Rx-Rate-ll,Ul-Rx-Pkts-ll,Ul-Rx-Drop_Percent,Dl-Rx-Goodput-bps,Dl-Rx-Rate-ll,Dl-Rx-Pkts-ll,DL-Rx-Drop-Percent
1760599260,10_16_2025_12_51_00,1,0,0,3000000,3000000,MTU,MTU,MTU,MTU,-1,1.1.eth1,67614,177855,100 Mbps,100 Mbps,,,,00:03:2d:3f:7f:21,[channel: 1],0,0,0,0,0,0,0,0,0,0
1760599265,10_16_2025_12_51_05,1,0,0,3000000,3000000,MTU,MTU,MTU,MTU,-1,1.1.eth1,67614,177855,100 Mbps,100 Mbps,,,,00:03:2d:3f:7f:21,[channel: 1],0,0,0,0,0,0,0,0,0,0
1760599270,10_16_2025_12_51_10,1,0,0,3000000,3000000,MTU,MTU,MTU,MTU,-1,1.1.eth1,79441,1346147,100 Mbps,100 Mbps,,,,00:03:2d:3f:7f:21,[channel: 1],0,0,0,0,0,0,0,0,0,0
1760599275,10_16_2025_12_51_15,1,0,0,3000000,3000000,MTU,MTU,MTU,MTU,-1,1.1.eth1,443262,12623846,100 Mbps,100 Mbps,,,,00:03:2d:3f:7f:21,[channel: 1],0,0,0,0,0,0,0,0,0,0
1760599280,10_16_2025_12_51_20,1,0,0,3000000,3000000,MTU,MTU,MTU,MTU,-1,1.1.eth1,443262,12623846,100 Mbps,100 Mbps,,,,00:03:2d:3f:7f:21,[channel: 1],0,0,0,0,0,0,0,0,0,0
1760599285,10_16_2025_12_51_25,1,0,0,3000000,3000000,MTU,MTU,MTU,MTU,-1,1.1.eth1,908372,20561927,100 Mbps,100 Mbps,,,,00:03:2d:3f:7f:21,[channel: 1],0,0,0,0,0,0,0,0,0,0
1760599290,10_16_2025_12_51_30,1,0,0,3000000,3000000,MTU,MTU,MTU,MTU,-1,1.1.eth1,1292236,27063807,100 Mbps,100 Mbps,,,,00:03:2d:3f:7f:21,[channel: 1],0,0,0,0,0,0,0,0,0,0
1760599295,10_16_2025_12_51_35,1,0,0,3000000,3000000,MTU,MTU,MTU,MTU,-1,1.1.eth1,1292236,27063807,100 Mbps,100 Mbps,,,,00:03:2d:3f:7f:21,[channel: 1],0,0,0,0,0,0,0,0,0,0
1760599300,10_16_2025_12_51_40,1,0,0,3000000,3000000,MTU,MTU,MTU,MTU,-1,1.1.eth1,1614743,32529357,100 Mbps,100 Mbps,,,,00:03:2d:3f:7f:21,[channel: 1],0,0,0,0,0,0,0,0,0,0
1760599305,10_16_2025_12_51_45,1,0,0,3000000,3000000,MTU,MTU,MTU,MTU,-1,1.1.eth1,1888775,37122486,100 Mbps,100 Mbps,,,,00:03:2d:3f:7f:21,[channel: 1],0,0,0,0,0,0,0,0,0,0
1760599310,10_16_2025_12_51_50,1,0,0,3000000,3000000,MTU,MTU,MTU,MTU,-1,1.1.eth1,1888775,37122486,100 Mbps,100 Mbps,,,,00:03:2d:3f:7f:21,[channel: 1],0,0,0,0,0,0,0,0,0,0
1760599315,10_16_2025_12_51_55,1,0,0,3000000,3000000,MTU,MTU,MTU,MTU,-1,1.1.eth1,2122154,41145457,100 Mbps,100 Mbps,,,,00:03:2d:3f:7f:21,[channel: 1],0,0,0,0,0,0,0,0,0,0
