Time epoch,Time,Total-Station-Count,UL-Min-Requested,UL-Max-Requested,DL-Min-Requested,DL-Max-Requested,UL-Min-PDU,UL-Max-PDU,DL-Min-PDU,DL-Max-PDU,Attenuation,Name,Rx-Bps,Tx-Bps,Rx-Link-Rate,Tx-Link-Rate,RSSI,AP,Mode,MAC,Channel,Rx-Latency,Rx-Jitter,Ul-Rx-Goodput-bps,Ul-Rx-Rate-ll,Ul-Rx-Pkts-ll,Ul-Rx-Drop_Percent,Dl-Rx-Goodput-bps,Dl-Rx-Rate-ll,Dl-Rx-Pkts-ll,DL-Rx-Drop-Percent
1757075566,09_05_2025_18_02_46,20,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.18.wlan0,685057,16890,292 Mbps,292 Mbps,-66,18:A9:ED:2F:1B:07,802.11abgn-AC 80 ,5a:f3:d2:a5:60:59,100,2421,0,1105603,1141047,711,0.0,0,0,0,0
1757075566,09_05_2025_18_02_46,20,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.18.wlan0,931516,35645,351 Mbps,351 Mbps,-66,18:A9:ED:2F:1B:07,802.11abgn-AC 80 ,5a:f3:d2:a5:60:59,100,2421,0,1105603,1141047,711,0.0,0,0,0,0
1757075571,09_05_2025_18_02_51,20,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.18.wlan0,931516,35645,351 Mbps,351 Mbps,-66,18:A9:ED:2F:1B:07,802.11abgn-AC 80 ,5a:f3:d2:a5:60:59,100,2496,0,1274625,1314717,1361,0.0,0,0,0,0
1757075571,09_05_2025_18_02_51,20,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.18.wlan0,931516,35645,351 Mbps,351 Mbps,-66,18:A9:ED:2F:1B:07,802.11abgn-AC 80 ,5a:f3:d2:a5:60:59,100,2496,0,1274625,1314717,1361,0.0,0,0,0,0
1757075576,09_05_2025_18_02_56,20,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.18.wlan0,7824734,173144,234 Mbps,234 Mbps,-66,18:A9:ED:2F:1B:07,802.11abgn-AC 80 ,5a:f3:d2:a5:60:59,100,1666,0,1267587,1313386,1927,0.0,0,0,0,0
1757075576,09_05_2025_18_02_56,20,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.18.wlan0,7824734,173144,234 Mbps,234 Mbps,-66,18:A9:ED:2F:1B:07,802.11abgn-AC 80 ,5a:f3:d2:a5:60:59,100,1666,0,1267587,1313386,1927,0.0,0,0,0,0
1757075581,09_05_2025_18_03_01,20,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.18.wlan0,7824734,173144,234 Mbps,234 Mbps,-66,18:A9:ED:2F:1B:07,802.11abgn-AC 80 ,5a:f3:d2:a5:60:59,100,1666,0,1258569,1296814,2473,0.0,0,0,0,0
1757075581,09_05_2025_18_03_01,20,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.18.wlan0,10536140,234101,234 Mbps,234 Mbps,-66,18:A9:ED:2F:1B:07,802.11abgn-AC 80 ,5a:f3:d2:a5:60:59,100,1666,0,1258569,1296814,2473,0.0,0,0,0,0
1757075586,09_05_2025_18_03_06,20,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.18.wlan0,10536140,234101,234 Mbps,234 Mbps,-66,18:A9:ED:2F:1B:07,802.11abgn-AC 80 ,5a:f3:d2:a5:60:59,100,1666,0,1232860,1273854,2994,0.0,0,0,0,0
1757075586,09_05_2025_18_03_06,20,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.18.wlan0,10536140,234101,234 Mbps,234 Mbps,-66,18:A9:ED:2F:1B:07,802.11abgn-AC 80 ,5a:f3:d2:a5:60:59,100,1666,0,1232860,1273854,2994,0.0,0,0,0,0
