TIMESTAMP,Bytes-rd,total urls,download_rate,rx_rate,tx_rate,RSSI
2025-10-27T14:23:20,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
2025-10-27T14:23:26,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
2025-10-27T14:23:31,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
2025-10-27T14:23:37,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
2025-10-27T14:23:42,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
2025-10-27T14:23:47,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
2025-10-27T14:23:53,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
2025-10-27T14:23:58,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
2025-10-27T14:24:04,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
2025-10-27T14:24:09,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
2025-10-27T14:24:14,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
