TIMESTAMP,Bytes-rd,total urls,download_rate,rx_rate,tx_rate,RSSI
2025-10-27T14:24:30,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
2025-10-27T14:24:36,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
2025-10-27T14:24:41,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
2025-10-27T14:24:47,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
2025-10-27T14:24:52,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
2025-10-27T14:24:57,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
2025-10-27T14:25:03,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
2025-10-27T14:25:08,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
2025-10-27T14:25:14,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
2025-10-27T14:25:19,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
2025-10-27T14:25:24,0.0,0,0,115.6 Mbps,144.4 Mbps,-18
