TIMESTAMP,Bytes-rd,total urls,download_rate,rx_rate,tx_rate,RSSI
2025-09-24T13:15:40,0,0,0,144.4 Mbps,144 Mbps,-41
2025-09-24T13:15:46,0,0,0,144.4 Mbps,144 Mbps,-41
2025-09-24T13:15:51,0,0,0,144.4 Mbps,144 Mbps,-18
2025-09-24T13:15:57,5000000,1,4083360,144.4 Mbps,144 Mbps,-18
2025-09-24T13:16:03,5094900,1,2724041,144.4 Mbps,144 Mbps,-16
2025-09-24T13:16:08,5766500,1,2294441,144.4 Mbps,144 Mbps,-16
2025-09-24T13:16:14,6817700,1,2164145,144.4 Mbps,144 Mbps,-16
2025-09-24T13:16:19,9009160,1,2374123,144.4 Mbps,144 Mbps,-18
2025-09-24T13:16:25,10000000,2,2256173,144.4 Mbps,144 Mbps,-15
2025-09-24T13:16:30,10141620,2,2019582,144.4 Mbps,144 Mbps,-15
2025-09-24T13:16:35,10702260,2,1888740,144.4 Mbps,144 Mbps,-15
