TIMESTAMP,Bytes-rd,total urls,download_rate,rx_rate,tx_rate,RSSI
2025-09-24T13:17:05,0.0,0,0,144.4 Mbps,144 Mbps,-16
2025-09-24T13:17:10,0.0,0,0,144.4 Mbps,144 Mbps,-16
2025-09-24T13:17:16,0.0,0,0,144.4 Mbps,144 Mbps,-16
2025-09-24T13:17:22,5.7826,1,2810451,144.4 Mbps,144 Mbps,-16
2025-09-24T13:17:28,7.9419,1,2956965,144.4 Mbps,144 Mbps,-16
2025-09-24T13:17:33,9.6851,1,2924526,144.4 Mbps,144 Mbps,-16
2025-09-24T13:17:39,10.5635,2,2680351,144.4 Mbps,144 Mbps,-16
2025-09-24T13:17:45,11.8118,2,2586045,144.4 Mbps,144 Mbps,-16
2025-09-24T13:17:50,13.174,2,2536528,144.4 Mbps,144 Mbps,-16
2025-09-24T13:17:56,17.092,3,2641087,144.4 Mbps,144 Mbps,-16
2025-09-24T13:18:02,18.5855,3,2612395,144.4 Mbps,144 Mbps,-16
