Time epoch,Time,Total-Station-Count,UL-Min-Requested,UL-Max-Requested,DL-Min-Requested,DL-Max-Requested,UL-Min-PDU,UL-Max-PDU,DL-Min-PDU,DL-Max-PDU,Attenuation,Name,Rx-Bps,Tx-Bps,Rx-Link-Rate,Tx-Link-Rate,RSSI,AP,Mode,MAC,Channel,Rx-Latency,Rx-Jitter,Ul-Rx-Goodput-bps,Ul-Rx-Rate-ll,Ul-Rx-Pkts-ll,Ul-Rx-Drop_Percent,Dl-Rx-Goodput-bps,Dl-Rx-Rate-ll,Dl-Rx-Pkts-ll,DL-Rx-Drop-Percent
1757075566,09_05_2025_18_02_46,20,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.67.wlan0,496659159,521284281,144 Mbps,29 Mbps,-81 dBm,18:A9:ED:2F:1B:07,802.11abgn-AX 20 1x1,f8:e4:e3:9a:98:81,100,2167,2,1193845,1232426,316,0.0,0,0,0,0
1757075566,09_05_2025_18_02_46,20,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.67.wlan0,1262605,3374,144 Mbps,29 Mbps,-81 dBm,18:A9:ED:2F:1B:07,802.11abgn-AX 20 1x1,f8:e4:e3:9a:98:81,100,2167,2,1193845,1232426,316,0.0,0,0,0,0
1757075571,09_05_2025_18_02_51,20,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.67.wlan0,1262605,3374,144 Mbps,29 Mbps,-81 dBm,18:A9:ED:2F:1B:07,802.11abgn-AX 20 1x1,f8:e4:e3:9a:98:81,100,1464,1,1218404,1255533,851,0.0,0,0,0,0
1757075571,09_05_2025_18_02_51,20,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.67.wlan0,1262605,3374,144 Mbps,29 Mbps,-81 dBm,18:A9:ED:2F:1B:07,802.11abgn-AX 20 1x1,f8:e4:e3:9a:98:81,100,1464,1,1218404,1255533,851,0.0,0,0,0,0
1757075576,09_05_2025_18_02_56,20,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.67.wlan0,4020775,8135,144 Mbps,29 Mbps,-81 dBm,18:A9:ED:2F:1B:07,802.11abgn-AX 20 1x1,f8:e4:e3:9a:98:81,100,1465,1,1190273,1225296,1343,0.0,0,0,0,0
1757075576,09_05_2025_18_02_56,20,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.67.wlan0,4020775,8135,144 Mbps,29 Mbps,-81 dBm,18:A9:ED:2F:1B:07,802.11abgn-AX 20 1x1,f8:e4:e3:9a:98:81,100,1465,1,1190273,1225296,1343,0.0,0,0,0,0
1757075581,09_05_2025_18_03_01,20,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.67.wlan0,4931834,11037,144 Mbps,29 Mbps,-80 dBm,18:A9:ED:2F:1B:07,802.11abgn-AX 20 1x1,f8:e4:e3:9a:98:81,100,1466,2,1186594,1220613,1847,0.0,0,0,0,0
1757075581,09_05_2025_18_03_01,20,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.67.wlan0,4931834,11037,144 Mbps,29 Mbps,-80 dBm,18:A9:ED:2F:1B:07,802.11abgn-AX 20 1x1,f8:e4:e3:9a:98:81,100,1466,2,1186594,1220613,1847,0.0,0,0,0,0
1757075586,09_05_2025_18_03_06,20,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.67.wlan0,4931834,11037,144 Mbps,29 Mbps,-80 dBm,18:A9:ED:2F:1B:07,802.11abgn-AX 20 1x1,f8:e4:e3:9a:98:81,100,1465,1,1186560,1229576,2357,0.0,0,0,0,0
1757075586,09_05_2025_18_03_06,20,0,0,10000000,10000000,MTU,MTU,MTU,MTU,-1,1.67.wlan0,4931834,11037,144 Mbps,29 Mbps,-80 dBm,18:A9:ED:2F:1B:07,802.11abgn-AX 20 1x1,f8:e4:e3:9a:98:81,100,1465,1,1186560,1229576,2357,0.0,0,0,0,0
