TIMESTAMP,Bytes-rd,total urls,download_rate,rx_rate,tx_rate,RSSI
2025-07-24T19:08:56,0.0,0,0,6 Mbps,6 Mbps,-24
2025-07-24T19:09:02,0.0,0,0,6 Mbps,6 Mbps,-24
2025-07-24T19:09:08,0.0,0,0,6 Mbps,6 Mbps,-24
2025-07-24T19:09:15,45.0102,9,31737923,6 Mbps,6 Mbps,-24
2025-07-24T19:09:21,78.4124,15,38218690,6 Mbps,6 Mbps,-24
2025-07-24T19:09:27,104.2043,20,39133151,6 Mbps,6 Mbps,-24
2025-07-24T19:09:33,155.0,31,39559981,6 Mbps,6 Mbps,-24
2025-07-24T19:09:39,180.0,36,39605433,6 Mbps,6 Mbps,-24
2025-07-24T19:09:45,205.0,41,39614041,6 Mbps,6 Mbps,-24
2025-07-24T19:09:51,230.0,46,39669775,6 Mbps,6 Mbps,-24
